Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Larry Bird,23.0,PF,9,41.3,9.2,19.7,0.469,0.4,1.7,0.267,8.8,18.0,0.488,0.48,2.4,2.8,0.88,2.4,8.8,11.2,4.7,1.6,0.9,3.7,3.3,21.3,
2.0,Tiny Archibald,31.0,PG,9,36.9,5.0,9.9,0.506,0.1,0.2,0.5,4.9,9.7,0.506,0.511,4.1,4.7,0.881,0.3,0.9,1.2,7.9,1.1,0.0,4.2,3.1,14.2,
3.0,Cedric Maxwell,24.0,SF,9,35.6,6.6,10.3,0.634,0.0,0.0,,6.6,10.3,0.634,0.634,5.1,6.8,0.754,3.4,6.6,10.0,2.1,0.6,1.1,2.4,2.8,18.2,
4.0,Dave Cowens,31.0,C,9,33.4,5.4,11.4,0.476,0.0,0.2,0.0,5.4,11.2,0.485,0.476,1.1,1.2,0.909,2.0,5.3,7.3,2.3,1.0,0.8,0.9,4.1,12.0,
5.0,Chris Ford,31.0,SG,9,31.0,3.8,8.8,0.43,0.2,1.4,0.154,3.6,7.3,0.485,0.443,1.3,1.7,0.8,1.0,1.8,2.8,2.3,1.6,0.7,1.4,3.9,9.1,
6.0,M.L. Carr,29.0,SF,9,19.1,3.6,8.9,0.4,0.2,0.6,0.4,3.3,8.3,0.4,0.413,1.8,2.7,0.667,1.6,2.1,3.7,1.2,0.7,0.1,0.8,2.2,9.1,
7.0,Rick Robey,24.0,C,9,16.8,2.7,5.9,0.453,0.0,0.1,0.0,2.7,5.8,0.462,0.453,0.8,1.6,0.5,1.4,2.1,3.6,1.1,0.8,0.3,0.9,3.0,6.1,
8.0,Pete Maravich,32.0,SG,9,11.6,2.8,5.7,0.49,0.2,0.7,0.333,2.6,5.0,0.511,0.51,0.2,0.3,0.667,0.0,0.9,0.9,0.7,0.3,0.0,1.0,1.3,6.0,
9.0,Gerald Henderson,24.0,PG,9,11.2,1.7,4.1,0.405,0.0,0.2,0.0,1.7,3.9,0.429,0.405,1.3,2.2,0.6,0.4,0.7,1.1,1.3,0.4,0.0,0.8,0.9,4.7,
10.0,Eric Fernsten,26.0,PF,5,3.6,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.4,0.6,0.667,0.6,0.4,1.0,0.0,0.0,0.6,0.4,0.2,1.2,
11.0,Jeff Judkins,23.0,SF,7,1.4,0.6,1.1,0.5,0.1,0.4,0.333,0.4,0.7,0.6,0.563,0.0,0.0,,0.4,0.1,0.6,0.0,0.1,0.0,0.0,0.0,1.3,
,Team Totals,,,9,240.0,41.3,86.2,0.479,1.3,5.4,0.245,40.0,80.8,0.495,0.487,18.4,24.2,0.761,13.3,29.4,42.8,23.7,8.1,4.2,16.4,24.8,102.4,
