G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Apr 27, 1990",,Box Score,,Phoenix Suns,W,,113,96,1,0,W 1,12616,2:02,
2,"Sun, Apr 29, 1990",,Box Score,,Phoenix Suns,L,,87,105,1,1,L 1,12616,2:02,
3,"Wed, May 2, 1990",,Box Score,@,Phoenix Suns,L,,105,120,1,2,L 2,14487,2:19,
4,"Fri, May 4, 1990",,Box Score,@,Phoenix Suns,W,,105,94,2,2,W 1,14487,1:59,
5,"Sun, May 6, 1990",,Box Score,,Phoenix Suns,L,,102,104,2,3,L 1,12616,2:37,
