Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Eddie Johnson,24,SG,5,188,7.3,14.2,0.514,0.0,0.0,,7.3,14.2,0.514,0.514,4.0,5.4,0.75,0.6,2.9,3.4,4.0,1.5,0.4,2.1,2.3,18.6,
2,Dan Roundfield,26,PF,5,174,6.6,14.3,0.464,0.0,0.2,0.0,6.6,14.1,0.471,0.464,4.6,7.2,0.629,5.2,6.8,12.0,2.3,0.8,1.7,2.3,4.6,17.8,
3,Charlie Criss,31,PG,5,152,6.9,14.0,0.492,0.2,0.7,0.333,6.6,13.3,0.5,0.5,2.6,2.8,0.917,0.0,1.2,1.2,5.2,1.4,0.0,2.6,2.8,16.6,
4,John Drew,25,SF,5,150,5.8,15.1,0.381,0.0,0.0,,5.8,15.1,0.381,0.381,6.0,8.4,0.714,2.4,4.8,7.2,1.0,1.7,0.0,2.9,5.0,17.5,
5,Steve Hawes,29,PF,5,149,4.3,9.9,0.439,0.0,0.0,,4.3,9.9,0.439,0.439,3.9,4.3,0.889,3.1,5.3,8.5,2.9,2.2,0.2,1.9,5.3,12.6,
6,Tree Rollins,24,C,5,134,4.8,8.3,0.581,0.0,0.0,,4.8,8.3,0.581,0.581,1.6,2.7,0.6,4.8,5.4,10.2,0.8,0.5,3.8,1.6,6.7,11.3,
7,Armond Hill,26,PG,5,109,4.0,9.9,0.4,0.0,0.3,0.0,4.0,9.6,0.414,0.4,3.6,4.0,0.917,0.7,1.3,2.0,5.0,1.3,0.3,3.6,4.6,11.6,
8,John Brown,28,SF,5,58,2.5,8.1,0.308,0.0,0.6,0.0,2.5,7.4,0.333,0.308,1.2,1.2,1.0,1.2,5.0,6.2,0.6,0.6,0.6,3.1,5.6,6.2,
9,Jack Givens,23,SF,4,36,3.0,14.0,0.214,0.0,0.0,,3.0,14.0,0.214,0.214,0.0,0.0,,1.0,4.0,5.0,3.0,2.0,0.0,3.0,7.0,6.0,
10,Jim McElroy,26,PG,5,32,4.5,10.1,0.444,0.0,1.1,0.0,4.5,9.0,0.5,0.444,4.5,5.6,0.8,1.1,1.1,2.3,4.5,0.0,0.0,2.3,1.1,13.5,
11,Sam Pellom,28,PF,4,18,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,
