Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Eddie Johnson,24,SG,79,2622,8.1,16.6,0.487,0.1,0.2,0.385,8.0,16.5,0.488,0.489,3.8,4.6,0.828,1.3,1.4,2.7,5.1,1.6,0.3,2.6,3.0,20.1,"AS,DEF2"
2,Dan Roundfield,26,PF,81,2588,7.0,14.0,0.499,0.0,0.1,0.0,7.0,14.0,0.5,0.499,4.6,6.5,0.71,4.1,7.6,11.6,2.6,1.4,1.9,3.2,4.4,18.6,"MVP-5,AS,NBA2,DEF1"
3,John Drew,25,SF,80,2306,8.4,18.5,0.453,0.0,0.1,0.0,8.4,18.3,0.455,0.453,7.6,10.1,0.757,3.2,4.2,7.4,1.6,1.4,0.4,3.7,4.9,24.3,AS
4,Tree Rollins,24,C,82,2123,4.9,8.7,0.558,0.0,0.0,,4.9,8.7,0.558,0.558,2.7,3.7,0.714,4.8,8.3,13.1,1.3,0.9,4.1,1.7,5.5,12.4,
5,Armond Hill,26,PG,79,2092,3.0,7.4,0.411,0.0,0.1,0.25,3.0,7.3,0.412,0.412,2.1,2.5,0.849,0.5,1.8,2.4,7.3,1.8,0.1,2.9,4.5,8.2,
6,Steve Hawes,29,PF,82,1853,5.9,11.8,0.502,0.1,0.2,0.375,5.8,11.6,0.504,0.505,2.9,3.5,0.824,2.9,6.8,9.6,2.8,1.4,0.6,2.4,4.0,14.8,
7,Charlie Criss,31,PG,81,1794,5.0,11.6,0.431,0.0,0.3,0.059,5.0,11.3,0.442,0.432,3.5,4.3,0.811,0.5,1.8,2.3,4.9,1.5,0.1,2.6,2.7,13.5,
8,Jack Givens,23,SF,82,1254,5.2,13.6,0.385,0.0,0.1,0.0,5.2,13.5,0.386,0.385,3.0,3.7,0.828,3.3,3.7,6.9,1.7,1.5,0.5,1.7,3.8,13.5,
9,Tom McMillen,27,C,53,1071,6.4,12.8,0.5,0.0,0.0,0.0,6.4,12.8,0.501,0.5,2.7,3.6,0.757,2.4,5.0,7.4,2.1,1.2,0.5,2.2,4.2,15.6,
10,Jim McElroy,26,PG,31,516,4.6,11.9,0.386,0.1,0.5,0.286,4.5,11.4,0.39,0.392,2.6,3.7,0.698,1.4,2.0,3.4,4.5,1.5,0.3,3.0,3.1,11.9,
11,Terry Furlow,25,SG,21,404,5.9,14.3,0.41,0.1,0.8,0.111,5.8,13.5,0.428,0.413,3.9,4.5,0.863,2.0,1.7,3.7,6.4,1.7,0.8,3.0,1.7,15.8,
12,Sam Pellom,28,PF,44,373,4.2,10.4,0.407,0.0,0.0,,4.2,10.4,0.407,0.407,2.0,2.9,0.7,2.7,6.2,8.9,1.7,1.2,1.2,1.7,6.8,10.5,
13,Ron Lee,27,PG,30,364,2.9,9.0,0.319,0.0,0.3,0.0,2.9,8.7,0.33,0.319,0.9,1.7,0.529,1.1,2.2,3.3,6.6,1.5,0.4,3.3,6.4,6.6,
14,John Brown,28,SF,28,361,3.7,9.8,0.378,0.0,0.0,,3.7,9.8,0.378,0.378,3.4,4.4,0.773,2.1,4.1,6.2,1.4,0.3,0.4,2.4,6.6,10.8,
15,Rick Wilson,23,SG,5,59,1.2,8.5,0.143,0.0,0.0,,1.2,8.5,0.143,0.143,2.4,3.7,0.667,1.2,0.6,1.8,6.7,2.4,0.6,4.9,1.8,4.9,
