Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Marques Johnson,23,SF,7,303,6.4,15.2,0.422,0.1,0.4,0.333,6.3,14.9,0.424,0.426,3.6,4.8,0.75,2.0,3.7,5.7,2.4,0.6,0.7,1.0,2.4,16.5,
2,Brian Winters,27,SG,7,268,6.2,13.4,0.46,1.2,2.8,0.429,5.0,10.6,0.468,0.505,1.3,1.3,1.0,0.5,2.3,2.8,5.0,1.5,0.0,2.1,3.4,14.9,
3,Bob Lanier,31,C,7,256,7.3,14.2,0.515,0.0,0.0,,7.3,14.2,0.515,0.515,4.4,5.9,0.738,2.4,6.8,9.1,4.4,1.0,1.1,2.4,3.2,19.0,
4,Dave Meyers,26,PF,7,195,4.8,11.4,0.419,0.0,0.6,0.0,4.8,10.9,0.441,0.419,2.6,5.5,0.467,3.0,3.5,6.5,2.6,1.7,1.1,2.8,4.6,12.2,
5,Sidney Moncrief,22,SG,7,182,5.9,10.1,0.588,0.0,0.0,,5.9,10.1,0.588,0.588,5.3,6.1,0.871,3.4,2.8,6.1,2.2,1.0,0.2,2.8,2.8,17.2,
6,Quinn Buckner,25,PG,7,165,3.9,11.6,0.34,0.0,0.2,0.0,3.9,11.3,0.346,0.34,1.5,2.4,0.636,1.3,2.2,3.5,6.8,3.3,0.0,2.8,4.4,9.4,
7,Junior Bridgeman,26,SF,5,124,5.8,16.3,0.357,0.0,0.3,0.0,5.8,16.0,0.364,0.357,3.2,4.4,0.733,1.2,4.4,5.5,4.9,1.5,0.6,4.1,4.9,14.8,
8,Richard Washington,24,PF,7,112,8.0,15.1,0.532,0.0,0.0,,8.0,15.1,0.532,0.532,0.3,1.3,0.25,2.3,4.2,6.4,1.0,1.3,2.6,2.6,7.1,16.4,
9,Harvey Catchings,28,C,6,64,1.1,3.4,0.333,0.0,0.0,,1.1,3.4,0.333,0.333,1.1,2.3,0.5,2.8,9.0,11.8,1.1,0.0,4.5,1.1,7.3,3.4,
10,Pat Cummings,23,C,6,57,6.9,10.7,0.647,0.0,0.0,,6.9,10.7,0.647,0.647,3.2,3.8,0.833,2.5,7.6,10.1,1.3,0.6,0.0,5.1,5.7,17.1,
11,Lloyd Walton,26,PG,1,4,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,
