Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Sonny Parker,24.0,SF,82,82.0,34.7,5.9,12.0,0.489,0.0,0.0,0.0,5.9,12.0,0.49,0.489,2.9,3.7,0.785,2.0,3.6,5.7,3.1,2.1,0.4,2.0,2.4,14.7,
2.0,John Lucas,26.0,PG,80,,34.5,4.9,10.4,0.467,0.2,0.5,0.286,4.7,9.9,0.477,0.475,2.8,3.6,0.768,0.8,2.0,2.8,7.5,1.7,0.0,2.3,2.5,12.6,
3.0,Phil Smith,27.0,SG,51,,30.4,6.4,13.4,0.474,0.1,0.4,0.318,6.2,13.0,0.48,0.48,2.6,3.4,0.789,0.5,2.3,2.9,3.7,1.2,0.3,2.4,3.0,15.5,
4.0,Robert Parish,26.0,C,72,,29.4,7.1,14.0,0.507,0.0,0.0,0.0,7.1,14.0,0.507,0.507,2.8,3.9,0.715,3.4,7.4,10.9,1.7,0.8,1.6,3.1,3.4,17.0,
5.0,Purvis Short,22.0,SF,62,,26.4,7.4,14.8,0.503,0.0,0.1,0.0,7.4,14.7,0.507,0.503,2.2,2.7,0.812,1.9,3.2,5.1,2.0,1.0,0.1,2.0,3.0,17.0,
6.0,Jo Jo White,33.0,PG,78,,26.3,4.3,9.1,0.476,0.0,0.1,0.167,4.3,9.0,0.479,0.477,1.2,1.5,0.851,0.5,1.8,2.3,3.1,1.1,0.2,2.0,2.4,9.9,
7.0,Wayne Cooper,23.0,PF,79,,22.5,4.6,9.5,0.489,0.0,0.1,0.25,4.6,9.4,0.491,0.49,1.7,2.3,0.751,2.6,3.9,6.4,0.5,0.3,1.0,1.8,3.1,11.0,
8.0,Clifford Ray,31.0,C,81,,20.8,2.5,4.7,0.53,0.0,0.0,0.0,2.5,4.7,0.533,0.53,1.0,1.8,0.564,1.5,4.2,5.8,2.3,0.6,0.4,1.9,3.3,6.0,
9.0,Tom Abernethy,25.0,PF,67,,18.2,2.3,4.7,0.481,0.0,0.0,0.0,2.3,4.7,0.483,0.481,0.8,1.2,0.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4,
10.0,Raymond Townsend,24.0,SG,75,,15.5,2.3,5.6,0.406,0.1,0.3,0.154,2.2,5.3,0.423,0.411,0.8,1.1,0.714,0.4,0.7,1.2,1.5,0.8,0.1,0.9,1.5,5.4,
11.0,Darnell Hillman,30.0,PF,49,,14.4,1.7,3.7,0.458,0.0,0.0,,1.7,3.7,0.458,0.458,0.7,1.4,0.5,1.2,2.5,3.7,1.0,0.4,0.5,1.2,2.6,4.0,
12.0,Bubba Wilson,24.0,SG,16,,8.9,0.4,1.6,0.28,0.0,0.0,,0.4,1.6,0.28,0.28,0.2,0.4,0.5,0.4,0.6,1.0,0.8,0.1,0.0,0.5,0.7,1.1,
13.0,John Coughran,28.0,SF,24,,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3.0,0.375,0.37,0.3,0.6,0.571,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8,
14.0,Cheese Johnson,22.0,SF,9,,5.9,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,0.3,0.6,0.6,0.7,0.9,1.6,0.2,0.1,0.0,0.4,1.2,3.0,
,Team Totals,,,82,82.0,242.4,43.0,89.2,0.482,0.3,1.5,0.223,42.7,87.8,0.486,0.484,17.2,23.3,0.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,
