Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Adrian Dantley,24.0,SF,68,39.3,10.7,18.6,0.576,0.0,0.0,0.0,10.7,18.6,0.577,0.576,6.5,7.7,0.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28.0,AS
2.0,Terry Furlow,25.0,SG,55,31.2,6.6,13.9,0.476,0.4,1.3,0.315,6.2,12.6,0.493,0.491,2.3,2.6,0.876,0.9,1.9,2.8,4.0,1.0,0.3,2.3,1.4,16.0,
3.0,Pete Maravich,32.0,SG,17,30.7,7.1,17.3,0.412,0.4,0.6,0.636,6.7,16.6,0.403,0.423,2.4,2.9,0.82,0.4,1.9,2.4,3.2,0.9,0.2,2.6,1.8,17.1,
4.0,Ron Boone,33.0,SG,75,30.5,5.2,11.7,0.447,0.3,0.7,0.38,5.0,11.0,0.451,0.458,2.3,2.5,0.894,0.7,2.2,2.9,4.0,1.2,0.0,2.5,2.9,12.9,
5.0,Ben Poquette,24.0,C,82,28.6,3.6,6.9,0.523,0.0,0.0,0.0,3.6,6.9,0.525,0.523,1.7,2.0,0.832,1.5,5.3,6.8,1.6,0.5,2.0,1.3,3.5,8.9,
6.0,Allan Bristow,28.0,SF,82,28.1,4.6,9.6,0.48,0.0,0.1,0.286,4.6,9.5,0.482,0.482,2.4,3.0,0.811,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6,
7.0,Tom Boswell,26.0,PF,61,25.5,4.5,7.8,0.573,0.1,0.1,0.5,4.4,7.7,0.574,0.577,2.4,3.3,0.729,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5,
8.0,Duck Williams,23.0,PG,77,23.3,3.0,6.7,0.447,0.0,0.2,0.0,3.0,6.6,0.458,0.447,0.5,0.8,0.7,0.3,1.1,1.4,2.4,1.3,0.1,1.4,2.2,6.6,
9.0,Bernard King,23.0,SF,19,22.1,3.7,7.2,0.518,0.0,0.0,,3.7,7.2,0.518,0.518,1.8,3.3,0.54,1.3,3.4,4.6,2.7,0.4,0.2,2.6,3.5,9.3,
10.0,James Hardy,23.0,PF,76,21.1,2.4,4.8,0.507,0.0,0.0,0.5,2.4,4.8,0.507,0.508,0.7,0.9,0.773,1.6,3.6,5.3,1.4,0.6,1.1,1.4,2.7,5.5,
11.0,Brad Davis,24.0,PG,13,17.3,2.5,4.3,0.589,0.0,0.1,0.0,2.5,4.2,0.6,0.589,0.8,0.9,0.833,0.3,0.8,1.2,3.5,0.8,0.1,0.8,1.6,5.8,
12.0,John Gianelli,29.0,C,17,16.8,1.4,3.9,0.348,0.0,0.0,,1.4,3.9,0.348,0.348,0.5,0.9,0.563,0.8,2.8,3.6,1.0,0.4,0.4,1.3,1.5,3.2,
13.0,Mack Calvin,32.0,PG,48,16.1,2.1,4.7,0.441,0.0,0.2,0.091,2.1,4.5,0.458,0.443,2.2,2.4,0.897,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4,
14.0,Paul Dawkins,22.0,SF,57,13.6,2.5,5.3,0.47,0.0,0.1,0.2,2.5,5.2,0.475,0.472,0.6,0.8,0.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2.0,5.5,
15.0,Robert Smith,24.0,PG,6,12.2,0.8,2.5,0.333,0.0,0.0,,0.8,2.5,0.333,0.333,0.8,0.8,1.0,0.5,0.0,0.5,1.2,0.7,0.0,0.2,0.5,2.5,
16.0,Jerome Whitehead,23.0,C,32,10.3,1.0,2.2,0.449,0.0,0.0,,1.0,2.2,0.449,0.449,0.2,0.5,0.294,0.8,2.2,3.0,0.6,0.2,0.3,0.9,2.0,2.1,
17.0,Greg Deane,22.0,SG,7,6.9,0.3,1.6,0.182,0.1,0.1,1.0,0.1,1.4,0.1,0.227,0.7,1.0,0.714,0.3,0.6,0.9,0.9,0.0,0.0,0.4,0.4,1.4,
18.0,John Brown,28.0,SF,4,6.0,0.0,1.8,0.0,0.0,0.0,,0.0,1.8,0.0,0.0,1.0,1.0,1.0,1.3,1.0,2.3,1.0,0.0,0.0,1.3,1.0,1.0,
19.0,Andre Wakefield,25.0,SG,8,5.9,0.8,1.9,0.4,0.0,0.0,,0.8,1.9,0.4,0.4,0.4,0.4,1.0,0.0,0.5,0.5,0.4,0.1,0.0,1.0,1.6,1.9,
20.0,Carl Kilpatrick,23.0,C,2,3.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.5,2.0,0.0,0.0,0.0,0.0,0.5,1.5,
,Team Totals,,,82,241.5,41.2,83.1,0.496,0.7,2.3,0.319,40.5,80.9,0.501,0.5,19.2,23.7,0.809,11.8,28.8,40.6,24.5,8.0,4.4,18.8,24.5,102.4,
