Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Reggie Theus,22,SG,82,82.0,3029,6.7,13.9,0.483,0.3,1.2,0.267,6.4,12.7,0.504,0.495,5.9,7.1,0.838,1.7,2.2,3.9,6.1,1.4,0.2,4.1,3.1,19.7,
2,Dave Greenwood,22,PF,82,82.0,2791,6.4,13.6,0.474,0.0,0.1,0.143,6.4,13.5,0.476,0.474,4.3,5.4,0.81,2.9,7.1,10.0,2.3,0.8,1.7,2.7,4.0,17.2,
3,Ricky Sobers,27,PG,82,82.0,2673,6.3,13.5,0.469,0.3,0.9,0.309,6.0,12.6,0.481,0.48,2.7,3.2,0.837,1.0,2.2,3.3,5.7,1.8,0.2,3.8,4.0,15.6,
4,Coby Dietrick,31,C,79,,1830,4.5,9.8,0.454,0.0,0.2,0.111,4.4,9.7,0.46,0.455,1.8,2.3,0.763,2.0,5.2,7.1,4.2,1.8,1.0,2.2,4.5,10.7,
5,Artis Gilmore,30,C,48,,1568,7.0,11.8,0.595,0.0,0.0,,7.0,11.8,0.595,0.595,5.6,7.9,0.712,2.5,7.4,9.9,3.1,0.7,1.4,3.1,3.8,19.6,
6,Ollie Johnson,30,SF,79,,1535,6.1,12.4,0.497,0.0,0.3,0.091,6.1,12.1,0.506,0.498,1.9,2.2,0.882,1.2,2.7,3.8,3.8,1.4,0.6,2.3,3.9,14.2,
7,Scott May,25,SF,54,,1298,7.3,16.3,0.45,0.0,0.1,0.0,7.3,16.2,0.453,0.45,4.0,4.8,0.837,2.2,3.9,6.0,2.9,1.2,0.1,2.1,3.5,18.6,
8,Dwight Jones,27,PF,53,,1170,6.4,11.9,0.535,0.0,0.0,,6.4,11.9,0.535,0.535,3.7,5.1,0.721,2.6,6.6,9.1,2.8,0.7,1.1,3.1,4.9,16.4,
9,Mark Landsberger,24,C,54,,1136,5.8,11.0,0.529,0.0,0.0,,5.8,11.0,0.529,0.529,2.8,5.3,0.524,5.0,9.3,14.3,1.0,0.7,0.5,2.4,3.6,14.4,
10,Del Beshore,23,PG,68,,869,3.6,10.4,0.352,0.4,1.1,0.385,3.2,9.3,0.348,0.372,2.4,3.6,0.667,0.7,1.9,2.6,5.8,2.4,0.2,4.3,4.3,10.1,
11,Dennis Awtrey,31,C,26,,560,1.7,3.9,0.45,0.0,0.0,,1.7,3.9,0.45,0.45,2.1,3.2,0.64,1.9,5.5,7.4,2.6,0.8,1.0,1.7,4.2,5.5,
12,Ollie Mack,22,SG,23,,526,5.3,10.2,0.517,0.0,0.3,0.0,5.3,9.9,0.531,0.517,2.0,2.3,0.879,1.7,1.6,3.4,2.3,1.4,0.2,1.8,2.3,12.5,
13,Sam Smith,25,SF,30,,496,7.0,16.7,0.422,0.6,2.5,0.229,6.5,14.2,0.456,0.439,4.1,4.6,0.905,1.6,2.3,3.9,3.0,1.8,0.5,2.4,3.9,18.8,
14,John Mengelt,30,SG,36,,387,8.4,15.4,0.542,0.0,0.6,0.0,8.4,14.9,0.563,0.542,3.6,4.6,0.796,0.3,1.9,2.1,3.5,0.9,0.0,3.3,5.0,20.4,
15,Roger Brown,29,C,4,,37,1.0,2.9,0.333,0.0,0.0,,1.0,2.9,0.333,0.333,0.0,0.0,,1.9,7.8,9.7,1.0,0.0,2.9,0.0,3.9,1.9,
