Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Kareem Abdul-Jabbar,32.0,C,15,41.2,13.2,23.1,0.572,0.0,0.0,,13.2,23.1,0.572,0.572,5.5,7.0,0.79,3.4,8.7,12.1,3.1,1.1,3.9,3.7,3.4,31.9,
2.0,Magic Johnson,20.0,SG,16,41.1,6.4,12.4,0.518,0.1,0.5,0.25,6.3,11.9,0.529,0.523,5.3,6.6,0.802,3.3,7.3,10.5,9.4,3.1,0.4,4.1,2.9,18.3,Finals MVP-1
3.0,Jamaal Wilkes,26.0,SF,16,40.8,8.8,18.4,0.476,0.0,0.1,0.0,8.8,18.3,0.478,0.476,2.8,3.4,0.815,3.3,4.7,8.0,3.0,1.5,0.3,2.2,3.2,20.3,
4.0,Norm Nixon,24.0,PG,16,40.5,7.1,14.9,0.477,0.1,0.3,0.2,7.1,14.6,0.483,0.479,2.6,3.2,0.804,0.8,2.7,3.5,7.8,2.0,0.2,3.1,3.7,16.9,
5.0,Michael Cooper,23.0,SG,16,29.0,3.6,8.8,0.407,0.0,0.1,0.0,3.6,8.6,0.413,0.407,1.9,2.3,0.861,1.8,1.9,3.7,3.6,1.5,0.7,1.8,3.4,9.1,
6.0,Jim Chones,30.0,C,16,27.4,3.0,7.4,0.407,0.0,0.0,,3.0,7.4,0.407,0.407,1.4,2.1,0.676,2.0,4.5,6.5,1.8,0.5,0.4,2.0,3.8,7.4,
7.0,Spencer Haywood,30.0,PF,11,13.2,2.3,4.8,0.472,0.0,0.1,0.0,2.3,4.7,0.481,0.472,1.2,1.5,0.813,1.3,1.1,2.4,0.4,0.0,0.5,1.8,1.5,5.7,
8.0,Mark Landsberger,24.0,C,16,12.2,1.6,4.3,0.362,0.0,0.1,0.0,1.6,4.3,0.368,0.362,0.3,0.4,0.833,1.6,2.8,4.3,0.1,0.2,0.1,0.6,2.2,3.4,
9.0,Brad Holland,23.0,SG,9,3.6,0.6,1.1,0.5,0.0,0.0,,0.6,1.1,0.5,0.5,0.4,0.4,1.0,0.2,0.3,0.6,0.3,0.6,0.0,0.3,0.9,1.6,
10.0,Marty Byrnes,23.0,SF,4,2.0,0.3,0.8,0.333,0.0,0.0,,0.3,0.8,0.333,0.333,1.0,1.5,0.667,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1.5,
11.0,Butch Lee,23.0,PG,3,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,0.7,0.7,
,Team Totals,,,16,241.6,44.8,91.9,0.487,0.2,1.1,0.167,44.6,90.8,0.491,0.488,20.9,26.3,0.798,16.9,32.9,49.9,29.1,10.1,6.1,19.1,24.0,110.6,
