Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Eddie Jordan,25,PG,82,82.0,2657,5.9,13.8,0.43,0.2,0.7,0.25,5.8,13.1,0.439,0.436,2.7,3.5,0.779,0.8,2.8,3.7,7.5,3.0,0.4,3.5,3.2,14.7,
2,Mike Newlin,31,SG,78,,2510,8.8,19.1,0.46,0.6,2.2,0.296,8.1,16.9,0.481,0.477,5.3,6.0,0.884,1.4,2.3,3.8,4.5,1.6,0.1,3.3,2.8,23.4,
3,Jan van Breda Kolff,28,SF,82,,2399,3.2,6.9,0.463,0.1,0.3,0.35,3.1,6.6,0.468,0.471,2.0,2.3,0.839,1.5,4.9,6.4,3.7,1.5,1.1,2.4,4.6,8.4,
4,George Johnson,31,C,81,,2119,4.2,9.2,0.457,0.0,0.0,0.0,4.2,9.2,0.458,0.457,1.5,2.1,0.706,3.3,7.0,10.2,2.9,0.9,4.4,3.4,5.3,9.9,
5,Calvin Natt,23,SF,53,,2046,7.4,15.5,0.479,0.0,0.1,0.2,7.4,15.4,0.481,0.48,3.5,4.9,0.711,3.0,6.0,9.0,2.0,1.4,0.4,2.3,2.6,18.3,
6,Cliff Robinson,19,PF,70,,1661,8.5,18.1,0.469,0.0,0.1,0.25,8.5,18.0,0.47,0.47,3.6,5.2,0.694,3.8,7.2,11.0,2.1,1.3,0.7,3.0,3.9,20.6,
7,Rich Kelley,26,C,57,,1466,4.6,9.8,0.466,0.0,0.1,0.0,4.6,9.7,0.47,0.466,4.8,6.1,0.788,3.8,5.9,9.7,3.1,1.2,1.9,3.7,5.3,14.0,
8,Winford Boynes,22,SG,64,,1102,7.2,15.3,0.473,0.0,0.1,0.0,7.2,15.1,0.477,0.473,3.4,4.4,0.765,1.7,2.7,4.3,3.1,1.9,0.6,3.1,4.3,17.8,
9,John Williamson,28,SG,28,,771,9.6,21.5,0.447,0.4,0.9,0.421,9.2,20.6,0.448,0.456,3.5,4.1,0.864,1.1,1.4,2.5,4.1,1.2,0.4,2.0,3.3,23.2,
10,Robert Smith,24,PG,59,,736,5.5,12.4,0.445,0.4,1.3,0.308,5.1,11.2,0.461,0.461,3.7,4.3,0.862,0.8,2.9,3.7,4.2,1.1,0.2,2.5,5.0,15.1,
11,Bob Elliott,24,PF,54,,722,5.0,11.4,0.443,0.0,0.2,0.25,5.0,11.2,0.446,0.445,5.2,7.6,0.684,3.3,5.9,9.2,2.6,1.4,0.7,4.4,4.8,15.3,
12,Maurice Lucas,27,PF,22,,708,6.5,13.3,0.49,0.0,0.2,0.0,6.5,13.1,0.498,0.49,4.0,5.2,0.775,2.9,7.8,10.8,4.2,1.0,1.4,3.6,4.2,17.0,
13,Roger Phegley,23,SG,28,,541,8.4,17.3,0.485,0.1,0.3,0.5,8.3,17.0,0.484,0.488,4.9,5.5,0.88,1.7,2.9,4.7,2.1,1.0,0.3,3.3,3.5,21.8,
14,Phil Jackson,34,PF,16,,194,5.4,8.5,0.63,0.0,0.4,0.0,5.4,8.2,0.659,0.63,1.3,1.9,0.7,2.2,2.2,4.5,2.2,0.9,0.7,1.7,6.5,12.1,
15,Tim Bassett,28,PF,7,,92,3.1,8.6,0.364,0.0,0.0,,3.1,8.6,0.364,0.364,3.1,4.7,0.667,2.7,4.3,7.0,1.6,2.0,0.0,1.6,5.5,9.4,
16,Ralph Simpson,30,SG,8,,81,8.0,20.9,0.383,0.0,0.9,0.0,8.0,20.0,0.4,0.383,2.2,4.4,0.5,2.7,2.2,4.9,6.2,4.0,0.0,5.3,1.3,18.2,
