Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Moses Malone,24,C,82,82.0,3140,8.9,17.8,0.502,0.0,0.1,0.0,8.9,17.7,0.504,0.502,6.5,9.0,0.719,6.6,7.1,13.6,1.7,0.9,1.2,3.4,2.4,24.3,"MVP-9,AS,NBA2"
2,Calvin Murphy,31,SG,76,,2676,8.4,17.0,0.493,0.0,0.3,0.04,8.4,16.7,0.502,0.493,3.6,4.1,0.897,0.9,1.1,2.0,4.0,1.9,0.1,2.2,3.6,20.4,
3,Robert Reid,24,SF,76,,2304,6.5,13.5,0.487,0.0,0.0,0.0,6.5,13.4,0.488,0.487,2.4,3.2,0.736,2.2,4.7,6.9,3.8,2.1,0.9,2.6,4.4,15.5,
4,Allen Leavell,22,PG,77,,2123,5.6,11.1,0.503,0.1,0.3,0.158,5.5,10.8,0.513,0.505,3.1,3.7,0.814,1.0,2.2,3.1,7.1,2.2,0.5,3.5,3.3,14.3,
5,Rudy Tomjanovich,31,PF,62,,1834,7.3,15.3,0.476,0.4,1.6,0.278,6.8,13.7,0.498,0.49,2.3,2.9,0.803,2.6,4.4,7.0,2.1,0.6,0.2,1.9,3.2,17.3,
6,Rick Barry,35,SF,72,,1816,6.4,15.3,0.422,1.4,4.4,0.33,5.0,10.9,0.458,0.469,2.8,3.0,0.935,1.1,3.6,4.7,5.3,1.6,0.6,3.0,3.6,17.2,
7,Tom Henderson,28,PG,66,,1551,3.6,7.5,0.477,0.0,0.0,0.0,3.6,7.5,0.48,0.477,1.3,1.8,0.727,0.8,1.8,2.6,6.4,1.3,0.1,2.4,2.5,8.4,
8,Major Jones,26,PF,82,,1545,4.4,9.1,0.48,0.0,0.1,0.333,4.4,9.1,0.481,0.481,1.4,2.5,0.565,3.4,5.5,8.9,1.6,1.2,1.6,2.6,4.3,10.2,
9,Mike Dunleavy,25,PG,51,,1036,5.1,11.1,0.464,0.1,0.7,0.15,5.0,10.4,0.485,0.469,3.9,4.7,0.828,0.9,2.6,3.5,7.3,1.4,0.1,3.8,4.2,14.2,
10,Billy Paultz,31,C,37,,980,5.1,10.7,0.473,0.0,0.0,,5.1,10.7,0.473,0.473,1.6,3.0,0.524,3.4,6.4,9.7,2.6,0.8,1.4,2.1,3.2,11.7,
11,John Shumate,27,PF,29,,332,3.7,6.9,0.531,0.0,0.0,,3.7,6.9,0.531,0.531,3.6,4.8,0.75,2.7,5.9,8.6,2.5,0.9,1.0,2.9,4.2,11.0,
12,Dwight Jones,27,PF,21,,278,6.5,15.4,0.42,0.0,0.0,,6.5,15.4,0.42,0.42,3.5,4.7,0.75,4.0,5.3,9.3,1.4,0.5,0.6,2.6,6.2,16.4,
13,Paul Mokeski,23,C,12,,113,3.5,10.5,0.333,0.0,0.0,,3.5,10.5,0.333,0.333,2.2,2.9,0.778,4.5,4.8,9.2,0.6,0.3,1.9,3.2,7.6,9.2,
14,Rudy White,26,SG,9,,106,4.4,8.2,0.542,0.0,0.0,,4.4,8.2,0.542,0.542,3.4,4.4,0.769,0.0,3.1,3.1,1.7,1.7,0.0,2.7,2.7,12.2,
15,Alonzo Bradley,26,SF,22,,96,6.4,18.0,0.354,0.4,0.4,1.0,6.0,17.6,0.34,0.365,2.3,3.4,0.667,0.7,1.5,2.3,1.1,1.1,0.0,3.0,3.4,15.4,
